Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
0,2.5,0.05,100,1,100000.0
1,2.5,0.05,150,1,100000.0
2,2.5,0.05,200,1,100000.0
3,2.5,0.05,250,1,100000.0
4,2.5,0.05,300,1,100000.0
5,2.5,0.05,350,1,100000.0
6,2.5,0.05,400,1,100000.0
7,2.5,0.05,450,1,100000.0
8,2.5,0.05,500,1,100000.0
9,2.5,0.05,550,1,100000.0
10,2.5,0.05,600,1,100000.0
11,2.5,0.05,650,1,100000.0
12,2.5,0.05,700,1,100000.0
13,2.5,0.05,750,1,100000.0
14,2.5,0.05,800,1,100000.0
15,2.5,0.05,850,1,100000.0
16,2.5,0.05,900,1,100000.0
17,2.5,0.05,950,1,100000.0
18,2.5,0.05,1000,1,100000.0
19,2.5,0.05,1050,1,100000.0
20,2.5,0.05,1100,1,100000.0
21,2.5,0.05,1150,1,100000.0
22,2.5,0.05,1200,1,100000.0
23,2.5,0.05,1250,1,100000.0
24,2.5,0.05,1300,1,100000.0
25,2.5,0.05,1350,1,100000.0
26,2.5,0.05,1400,1,100000.0
27,2.5,0.05,1450,1,100000.0
28,2.5,0.05,1500,1,100000.0
29,2.5,0.05,1550,1,100000.0
30,2.5,0.05,1600,1,100000.0
31,2.5,0.05,1650,1,100000.0
32,2.5,0.05,1700,1,100000.0
33,2.5,0.05,1750,1,100000.0
34,2.5,0.05,1800,1,100000.0
35,2.5,0.05,1850,1,100000.0
36,2.5,0.05,1900,1,100000.0
37,2.5,0.05,1950,1,100000.0
38,2.5,0.05,2000,1,100000.0
39,2.5,0.05,2050,1,100000.0
40,2.5,0.05,2100,1,100000.0
41,2.5,0.02,100,1,100000.0
42,2.5,0.02,150,1,100000.0
43,2.5,0.02,200,1,100000.0
44,2.5,0.02,250,1,100000.0
45,2.5,0.02,300,1,100000.0
46,2.5,0.02,350,1,100000.0
47,2.5,0.02,400,1,100000.0
48,2.5,0.02,450,1,100000.0
49,2.5,0.02,500,1,100000.0
50,2.5,0.02,550,1,100000.0
51,2.5,0.02,600,1,100000.0
52,2.5,0.02,650,1,100000.0
53,2.5,0.02,700,1,100000.0
54,2.5,0.02,750,1,100000.0
55,2.5,0.02,800,1,100000.0
56,2.5,0.02,850,1,100000.0
57,2.5,0.02,900,1,100000.0
58,2.5,0.02,950,1,100000.0
59,2.5,0.02,1000,1,100000.0
60,2.5,0.02,1050,1,100000.0
61,2.5,0.02,1100,1,100000.0
62,2.5,0.02,1150,1,100000.0
63,2.5,0.02,1200,1,100000.0
64,2.5,0.02,1250,1,100000.0
65,2.5,0.02,1300,1,100000.0
66,2.5,0.02,1350,1,100000.0
67,2.5,0.02,1400,1,100000.0
68,2.5,0.02,1450,1,100000.0
69,2.5,0.02,1500,1,100000.0
70,2.5,0.02,1550,1,100000.0
71,2.5,0.02,1600,1,100000.0
72,2.5,0.02,1650,1,100000.0
73,2.5,0.02,1700,1,100000.0
74,2.5,0.02,1750,1,100000.0
75,2.5,0.02,1800,1,100000.0
76,2.5,0.02,1850,1,100000.0
77,2.5,0.02,1900,1,100000.0
78,2.5,0.02,1950,1,100000.0
79,2.5,0.02,2000,1,100000.0
80,2.5,0.02,2050,1,100000.0
81,2.5,0.02,2100,1,100000.0
82,2.5,0.015,100,1,100000.0
83,2.5,0.015,150,1,100000.0
84,2.5,0.015,200,1,100000.0
85,2.5,0.015,250,1,100000.0
86,2.5,0.015,300,1,100000.0
87,2.5,0.015,350,1,100000.0
88,2.5,0.015,400,1,100000.0
89,2.5,0.015,450,1,100000.0
90,2.5,0.015,500,1,100000.0
91,2.5,0.015,550,1,100000.0
92,2.5,0.015,600,1,100000.0
93,2.5,0.015,650,1,100000.0
94,2.5,0.015,700,1,100000.0
95,2.5,0.015,750,1,100000.0
96,2.5,0.015,800,1,100000.0
97,2.5,0.015,850,1,100000.0
98,2.5,0.015,900,1,100000.0
99,2.5,0.015,950,1,100000.0
100,2.5,0.015,1000,1,100000.0
101,2.5,0.015,1050,1,100000.0
102,2.5,0.015,1100,1,100000.0
103,2.5,0.015,1150,1,100000.0
104,2.5,0.015,1200,1,100000.0
105,2.5,0.015,1250,1,100000.0
106,2.5,0.015,1300,1,100000.0
107,2.5,0.015,1350,1,100000.0
108,2.5,0.015,1400,1,100000.0
109,2.5,0.015,1450,1,100000.0
110,2.5,0.015,1500,1,100000.0
111,2.5,0.015,1550,1,100000.0
112,2.5,0.015,1600,1,100000.0
113,2.5,0.015,1650,1,100000.0
114,2.5,0.015,1700,1,100000.0
115,2.5,0.015,1750,1,100000.0
116,2.5,0.015,1800,1,100000.0
117,2.5,0.015,1850,1,100000.0
118,2.5,0.015,1900,1,100000.0
119,2.5,0.015,1950,1,100000.0
